strategy,client_machine_id,clients,locks,active_window,zipf_skew,total_ops,wall_s,goodput,mean_us,p50_us,p90_us,p99_us,p99.9_us,max_us
mpmc_simple,0,2,1,1,0.00,5000000,55.913,89424,11.15,11.57,11.80,13.52,21.07,111.40
mpmc_simple,1,2,1,1,0.00,5000000,55.925,89406,11.15,11.11,11.44,12.22,19.42,57.90
mpmc_simple,0,4,1,1,0.00,5000000,28.707,174173,11.45,11.84,12.36,21.53,24.31,119.03
mpmc_simple,1,4,1,1,0.00,5000000,28.713,174135,11.45,11.29,11.72,19.77,23.82,73.84
mpmc_simple,0,8,1,1,0.00,5000000,15.415,324357,12.29,11.55,13.75,21.66,26.12,119.19
mpmc_simple,1,8,1,1,0.00,5000000,15.422,324222,12.30,12.14,12.63,19.74,25.25,117.01
mpmc_simple,0,16,1,1,0.00,5000000,13.257,377163,21.14,21.97,22.87,31.73,36.59,131.91
mpmc_simple,1,16,1,1,0.00,5000000,13.260,377067,21.15,21.03,21.69,29.75,35.10,131.76
mpmc_simple,0,32,1,1,0.00,5000000,12.643,395482,40.36,36.88,46.82,52.12,60.37,19419.24
mpmc_simple,1,32,1,1,0.00,5000000,12.647,395338,40.36,40.09,40.81,45.98,54.72,19529.53
mpmc_synra,0,2,1,1,0.00,5000000,72.616,68855,14.49,13.72,16.76,20.26,25.37,125.79
mpmc_synra,1,2,1,1,0.00,5000000,72.631,68841,14.49,14.33,14.68,19.76,23.84,54.01
mpmc_synra,0,4,1,1,0.00,5000000,37.132,134656,14.82,14.07,17.04,25.68,29.14,111.54
mpmc_synra,1,4,1,1,0.00,5000000,37.147,134602,14.82,14.55,15.00,24.89,28.03,58.01
mpmc_synra,0,8,1,1,0.00,5000000,19.638,254613,15.67,14.91,18.09,27.28,31.06,120.93
mpmc_synra,1,8,1,1,0.00,5000000,19.644,254528,15.68,15.36,16.04,26.33,29.78,79.96
mpmc_synra,0,16,1,1,0.00,5000000,12.589,397169,20.06,19.11,23.43,33.21,38.62,129.84
mpmc_synra,1,16,1,1,0.00,5000000,12.590,397151,20.06,19.66,21.26,31.00,35.96,127.63
mpmc_synra,0,32,1,1,0.00,5000000,13.518,369865,43.16,41.87,58.77,75.51,88.10,21029.57
mpmc_synra,1,32,1,1,0.00,5000000,13.524,369714,43.16,40.81,55.71,74.24,92.50,19568.88
